Pair	Dist	Mean
GS	6	-0.032271393819703
GS	7	-0.018645263636364
GS	8	-0.004439617595801
GS	9	-6.473156218628E-07
GS	10	0
GT	1	2.17854540161347
GT	2	-0.768093440538519
GT	3	-1.58256969495503
GT	4	-2.28036193210394
GT	5	-0.119110778983934
GT	6	-0.033365239042357
GT	7	-0.021099451883053
GT	8	-0.004647824284977
GT	9	-3.36030446153846E-05
GT	10	0
GV	1	2.09190279637378
GV	2	-0.782095041008277
GV	3	-1.37456951594314
GV	4	-1.78085957595718
GV	5	-0.123608272536688
GV	6	-0.034841603778802
GV	7	-0.022585787700535
GV	8	-0.005158427033262
GV	9	-4.8448470079636E-06
GV	10	0
GW	1	2.00753070480082
GW	2	-0.856846249822317
GW	3	-1.85824271016813
GW	4	-3.00849582132565
GW	5	-0.166559612396333
GW	6	-0.066154809335727
GW	7	-0.096431021663347
GW	8	-0.020216026786607
GW	9	-0.001086724984255
GW	10	-0.000880981963177
GY	1	2.04364397120787
GY	2	-0.842890357864358
GY	3	-1.70209208527132
GY	4	-2.78782918787879
GY	5	-0.160379403169014
GY	6	-0.054588171468662
GY	7	-0.064802311513648
GY	8	-0.017394952674419
GY	9	-0.000860271663686
GY	10	-0.000264163855451
II	1	1.31117442361111
II	2	-0.946213283968368
II	3	-2.32904600907029
II	4	-3.11133616393443
II	5	-0.172623471001757
II	6	-0.057297488797814
II	7	-0.066507286914063
II	8	-0.012426776464543
II	9	-0.000117991922319
II	10	0
IL	1	1.47039346987952
IL	2	-0.930394212750455
IL	3	-2.32957104327666
IL	4	-3.16432922925678
IL	5	-0.165326446160446
IL	6	-0.055579974673864
IL	7	-0.063173058971872
IL	8	-0.010962113398907
IL	9	-0.000101381796614
IL	10	0
IM	1	1.17383899277457
IM	2	-0.961285602409639
IM	3	-2.60708427803379
IM	4	-3.10549169743178
IM	5	-0.174900196763203
IM	6	-0.061172146327434
IM	7	-0.076686702032136
IM	8	-0.013069275475325
IM	9	-0.000199850150361
IM	10	-1.83333962962963E-07
IS	1	1.87303479647218
IS	2	-0.909609907324365
IS	3	-5.68960944912012
IS	4	-2.68588178306672
IS	5	-0.150117856130108
IS	6	-0.048552094579946
IS	7	-0.041525998953662
IS	8	-0.008113605598972
IS	9	-6.03612995134228E-05
IS	10	0
IT	1	1.51203481705151
IT	2	-0.901736457602862
IT	3	-2.29698872272908
IT	4	-2.8828200374376
IT	5	-0.157426385793279
IT	6	-0.049478488863428
IT	7	-0.049010183787661
IT	8	-0.009011206851648
IT	9	-9.32463297908423E-05
IT	10	0
IV	1	1.3901774326628
IV	2	-0.917694611881893
IV	3	-2.08878049943246
IV	4	-2.43126056309083
IV	5	-0.162503485071398
IV	6	-0.051052198074278
IV	7	-0.051907496630327
IV	8	-0.009985118113397
IV	9	-6.25748276689576E-05
IV	10	0
IW	1	1.12530287295706
IW	2	-1.00080108826695
IW	3	-3.1107705511811
IW	4	-3.7974809813418
IW	5	-0.21069123697479
IW	6	-0.084117592462087
IW	7	-0.188445204754902
IW	8	-0.030434588132141
IW	9	-0.001196841097888
IW	10	-0.000929258324134
IY	1	1.16696124209078
IY	2	-0.98792010391021
IY	3	-2.64435876825159
IY	4	-3.59603085848687
IY	5	-0.203576366078925
IY	6	-0.072065481718464
IY	7	-0.115453663862782
IY	8	-0.025526824558747
IY	9	-0.000901531420931
IY	10	-0.000261649175579
LL	1	1.64626372764787
LL	2	-0.914271185074627
LL	3	-2.34452500377358
LL	4	-3.14025253521127
LL	5	-0.158149363554758
LL	6	-0.053612862807657
LL	7	-0.060043497043295
LL	8	-0.009894888613569
LL	9	-8.63287245991091E-05
LL	10	0
LM	1	1.45738860946328
LM	2	-0.944047925433739
LM	3	-2.3791493315508
LM	4	-3.07275669950739
LM	5	-0.166637517924926
LM	6	-0.05873167236534
LM	7	-0.069628933956544
LM	8	-0.011703807334755
LM	9	-0.00017763924162
LM	10	-1.85986473404255E-07
LS	1	2.03055687123093
LS	2	-0.894762063602941
LS	3	-5.63237907989398
LS	4	-2.8081176436544
LS	5	-0.143814941052632
LS	6	-0.046559056298317
LS	7	-0.039296897852029
LS	8	-0.007669365217617
LS	9	-4.40302099059214E-05
LS	10	0
LT	1	1.6601673102718
LT	2	-0.886366893124066
LT	3	-2.24406403238242
LT	4	-2.97132740693739
LT	5	-0.150477182688125
LT	6	-0.047969289295644
LT	7	-0.04634148024988
LT	8	-0.008375944068256
LT	9	-7.62169546865846E-05
LT	10	0
LV	1	1.54803455583304
LV	2	-0.902214734294161
LV	3	-2.04136066176471
LV	4	-2.52815083916084
LV	5	-0.155344191182705
LV	6	-0.049038172603362
LV	7	-0.049024990155945
LV	8	-0.008979545212089
LV	9	-4.82476834446878E-05
LV	10	0
LW	1	1.26218490349844
LW	2	-0.98491364246824
LW	3	-2.8716016646896
LW	4	-4.34193799672265
LW	5	-0.201948869311065
LW	6	-0.08085317318641
LW	7	-0.184934594797136
LW	8	-0.026564618263349
LW	9	-0.001195576194449
LW	10	-0.00098390065447
LY	1	1.38667014500349
LY	2	-0.969277925762587
LY	3	-2.68867377880184
LY	4	-3.8817492189397
LY	5	-0.194423706033376
LY	6	-0.0694844867265
LY	7	-0.114540065583756
LY	8	-0.022802339827406
LY	9	-0.000885749112578
LY	10	-0.0002579020145
MM	1	1.23133422491803
MM	2	-0.976730915812592
MM	3	-2.6889808428246
MM	4	-3.09420316445183
MM	5	-0.175423322524102
MM	6	-0.064867370571956
MM	7	-0.084098443830207
MM	8	-0.013673653738872
MM	9	-0.000276148072212
MM	10	-3.56381913730255E-07
MS	1	1.85687103125
MS	2	-0.923007151639344
MS	3	-5.58974867465224
MS	4	-2.72934311164853
MS	5	-0.15280810938884
MS	6	-0.051669711705069
MS	7	-0.047601098986829
MS	8	-0.009276262579468
MS	9	-0.000123322845389
MS	10	-1.83940284077201E-07
MT	1	1.41728355481611
MT	2	-0.914262906329114
MT	3	-2.32119361889512
MT	4	-2.85941332648026
MT	5	-0.160246747171453
MT	6	-0.053409121335201
MT	7	-0.058764134810438
MT	8	-0.010254701472492
MT	9	-0.000162068350874
MT	10	-1.89434721362229E-07
MV	1	1.24863833925462
MV	2	-0.932431212851406
MV	3	-2.25484323838081
MV	4	-2.41954918473896
MV	5	-0.165168929279862
MV	6	-0.053995566922729
MV	7	-0.060931823046683
MV	8	-0.011215917997983
MV	9	-0.000146523633595
MV	10	-1.7137140955414E-07
MW	1	1.04851572334235
MW	2	-1.01961279318996
MW	3	-3.16815310723759
MW	4	-4.91161752286282
MW	5	-0.209308221702128
MW	6	-0.088358179045093
MW	7	-0.255982208910891
MW	8	-0.029009112673522
MW	9	-0.001183066283809
MW	10	-0.000913589017918
MY	1	1.11780029359979
MY	2	-1.0010768287172
MY	3	-2.94472954348682
MY	4	-4.23988519672131
MY	5	-0.205109612380557
MY	6	-0.075385913882462
MY	7	-0.126880580592105
MY	8	-0.024522510071
MY	9	-0.00097053683496
MY	10	-0.000264086989511
SS	1	2.4718808845888
SS	2	-0.874606617801047
SS	3	-9.15146165495706
SS	4	-2.54819326732673
SS	5	-0.128435596581197
SS	6	-0.039875006116775
SS	7	-0.025695074203187
SS	8	-0.00552792948203
SS	9	-1.29534388577828E-06
SS	10	0
ST	1	2.0695416630117
ST	2	-0.866299314243213
ST	3	-5.6908643488463
ST	4	-2.55511747613117
ST	5	-0.134894393626571
ST	6	-0.041223933424908
ST	7	-0.029040402745881
ST	8	-0.005731882536688
ST	9	-3.51817194727273E-05
ST	10	0
SV	1	1.94429217100633
SV	2	-0.882954834750462
SV	3	-5.4876745382794
SV	4	-2.07988048890715
SV	5	-0.13981400676819
SV	6	-0.042496160111576
SV	7	-0.03116357997076
SV	8	-0.006240265101713
SV	9	-5.47345995560488E-06
SV	10	0
SW	1	1.68913113269165
SW	2	-0.962836201366415
SW	3	-6.06316109104879
SW	4	-3.85484491407529
SW	5	-0.188919280923345
SW	6	-0.073880352207207
SW	7	-0.1196961328263
SW	8	-0.023200040382399
SW	9	-0.001069980781531
SW	10	-0.000917860993996
SY	1	1.73304340567028
SY	2	-0.948869641857038
SY	3	-5.8556633714511
SY	4	-3.44231169534201
SY	5	-0.182179644134322
SY	6	-0.062693435642202
SY	7	-0.080247382027424
SY	8	-0.019813853839707
SY	9	-0.00088231025433
SY	10	-0.000282248297162
TT	1	1.69163376011773
TT	2	-0.858628445250181
TT	3	-2.26641954580447
TT	4	-2.64707574777688
TT	5	-0.141563281929991
TT	6	-0.042333581714286
TT	7	-0.03323360145379
TT	8	-0.006205185989474
TT	9	-6.82565883014623E-05
TT	10	0
TV	1	1.58055741361257
TV	2	-0.87440516898758
TV	3	-2.07800528588565
TV	4	-2.21895873273761
TV	5	-0.146974677782785
TV	6	-0.043524955938697
TV	7	-0.03568964778157
TV	8	-0.006938495104167
TV	9	-3.79949347613823E-05
TV	10	0
TW	1	1.35163858017699
TW	2	-0.95460300902595
TW	3	-2.85651906697638
TW	4	-3.58898299124901
TW	5	-0.198057899957247
TW	6	-0.077185208307692
TW	7	-0.16696782059387
TW	8	-0.02526255576779
TW	9	-0.001200058384637
TW	10	-0.00097296129529
TY	1	1.41012197165131
TY	2	-0.940277077501881
TY	3	-2.48344293491124
TY	4	-3.27648747216495
TY	5	-0.188548033883579
TY	6	-0.064228208290638
TY	7	-0.096845418854536
TY	8	-0.022710548151436
TY	9	-0.000897908485864
TY	10	-0.000276779038428
VV	1	1.46372688466948
VV	2	-0.890458974582426
VV	3	-1.85280463246554
VV	4	-1.79476510843374
VV	5	-0.15224970754717
VV	6	-0.044694384805318
VV	7	-0.038260052755906
VV	8	-0.00774846600882
VV	9	-9.50573188351921E-06
VV	10	0
VW	1	1.20524698193018
VW	2	-0.970083586791772
VW	3	-2.66042306813996
VW	4	-3.32253880382775
VW	5	-0.199390233517652
VW	6	-0.078785718912848
VW	7	-0.161494012171373
VW	8	-0.026823709652082
VW	9	-0.0010809631344
VW	10	-0.000921492800123
VY	1	1.28809038017391
VY	2	-0.958755414625093
VY	3	-2.35066624336619
VY	4	-2.94703006147541
VY	5	-0.192684461336828
VY	6	-0.066657605705301
VY	7	-0.098387669537713
VY	8	-0.023007870916486
VY	9	-0.000870668189418
VY	10	-0.000274048555857
WW	1	0.929294365654521
WW	2	-1.06234418091168
WW	3	-3.70190346320346
WW	4	-5.38473333333333
WW	5	-0.246044665863454
WW	6	-0.112016894822888
WW	7	-0.429058722873346
WW	8	-0.051874049434738
WW	9	-0.002279054400352
WW	10	-0.001925932419196
WY	1	0.989756945726056
WY	2	-1.04481891809117
WY	3	-3.55597650823353
WY	4	-4.79014889944576
WY	5	-0.240960186526316
WY	6	-0.099001225249026
WY	7	-0.313313625844749
WY	8	-0.046185757700205
WY	9	-0.001998774258703
WY	10	-0.001216589957361
YY	1	1.08157338927069
YY	2	-1.02821298049133
YY	3	-3.24432142857143
YY	4	-4.36362691347754
YY	5	-0.231552666068223
YY	6	-0.085959324820144
YY	7	-0.157821333634538
YY	8	-0.037247555067218
YY	9	-0.001684597146685
YY	10	-0.000516379248729
